texto,emocao
este lugar continua assustador,negativo
na selva tem muitos animais perigosos,negativo
avancem com cautela,negativo
este lugar está silencioso de mais cuidado!,negativo
por favor deixe-me viver!,negativo
vou ficar sem mesada se tirar nota baixa,negativo
parece que tem olhos nos vigiando,negativo
eu temo que a sentença do juiz possa ser negativa,negativo
mas essa missão é arriscada,negativo
salvem-se quem puder!,negativo
meu plano pode ser descoberto,negativo
não tive culpa juro não fui eu,negativo
tenho que tomar cuidado com o lobisomem,negativo
se eu não achar ele vai descobrir a verdade,negativo
meu deus ele desapareceu!,negativo
tomara que eles não me vejam daqui!,negativo
mantenha isso em segredo se descobrirem estaremos ferrados,negativo
por favor me soltem eu sou inocente,negativo
estou ouvindo passos atrás de mim,negativo
eu vou pedir socorro!,negativo
cuidado com as curvas na estrada,negativo
não sei não parece perigoso,negativo
estou tremendo de medo!,negativo
socorro eu vou cair!,negativo
eu não vou até a floresta negra é muito perigoso,negativo
ouço passos na minha direção,negativo
acho que está arriscado de mais,negativo
vamos voltar é muito perigoso,negativo
fuja se não acabaremos mortos,negativo
receio por não me livrar desta situação,negativo
socorro! ele está armado!,negativo
ei cuidado você vai bater no poste!,negativo
socorro nós estamos afundando,negativo
e sério cuidado com essa arma!,negativo
os tubarões estão atacando!,negativo
sinto arrepios quando fico sozinho no escuro,negativo
calma eu não estou com o dinheiro,negativo
eu acho que estou sendo enganado,negativo
ligeiro temos que fugir depressa,negativo
tem um crocodilo selvagem vindo para cá,negativo
se ficarmos quietos eles não vão nos achar,negativo
fuja! o tigre parece faminto,negativo
estou sem saída preciso de um milagre,negativo
tire isso de mim! socorro!,negativo
não sei nadar vou me afogar!,negativo
não tenho certeza se e seguro,negativo
vou apanhar se meus pais verem meu boletim,negativo
não consigo sair daqui!,negativo
se sair tão tarde poderei ser assaltada,negativo
não me deixe por favor!,negativo
espere não pode me largar aqui sozinho,negativo
temo pela sua segurança,negativo
eu te entrego o dinheiro por favor não me mate!,negativo
ele vai levar todo o meu dinheiro,negativo
não dirija tão rápido assim,negativo
me descobriram irão me prender!,negativo
só espero que não me façam nenhum mal,negativo
vou me afogar me ajudem a sair da água,negativo
não estaremos a salvo aqui,negativo
não quero nem pensar no que pode acontecer,negativo
nessa cidade é uma desgraça atrás da outra,negativo
alguém esta me ligando estou assustado,negativo
isso não é remedio não me matem,negativo
eu não confio nele tenho que ter cautela,negativo
muita cautela,negativo
vou ser descoberto meu deus,negativo
receio que terei de ir,negativo
a noite e muito perigosa,negativo
estou estremecendo com essa casa,negativo
olha aquela criatura se movendo monstruosamente,negativo
não aguento este suspense,negativo
afugente os cães,negativo
estou chocado e amedrontado com este assassinato brutal,negativo
é preciso afugenta com ímpeto este medo do inferno,negativo
políticos usam suas forças para afugentar e amedrontar o povo,negativo
o objetivo disso e apenas me amedrontar mais,negativo
isso me apavora,negativo
